  101  101
    5   66  8.627451e-001
    5   67  9.058824e-001
    5   68  9.450980e-001
    5   69  9.372549e-001
    5   70  9.254902e-001
    5   71  9.098039e-001
    5   72  9.058824e-001
    5   73  9.137255e-001
    5   74  9.254902e-001
    5   75  9.411765e-001
    5   76  9.450980e-001
    5   77  9.450980e-001
    5   78  9.411765e-001
    5   79  9.490196e-001
    5   80  9.568627e-001
    5   81  9.490196e-001
    5   82  9.254902e-001
    5   83  9.058824e-001
    5   84  9.137255e-001
    5   85  9.490196e-001
    5   86  9.372549e-001
    5   87  9.254902e-001
    5   88  9.058824e-001
    5   89  8.901961e-001
    5   90  8.941176e-001
    5   91  9.098039e-001
    5   92  9.215686e-001
    5   93  9.176471e-001
    5   94  9.176471e-001
    5   95  9.058824e-001
    5   96  9.058824e-001
    5   97  9.333333e-001
    5   98  9.529412e-001
    5   99  1.000000e+000
    5  100  7.529412e-001
    6    0  8.470588e-001
    6    1  8.235294e-001
    6    2  8.117647e-001
    6    3  8.274510e-001
    6    4  8.509804e-001
    6    5  8.784314e-001
    6    6  8.980392e-001
    6    7  9.019608e-001
    6    8  8.901961e-001
    6    9  8.784314e-001
    6   10  8.666667e-001
    6   11  8.431373e-001
    6   12  8.313725e-001
    6   13  8.392157e-001
    6   14  8.745098e-001
    6   15  9.137255e-001
    6   16  9.176471e-001
    6   17  8.862745e-001
    6   18  8.549020e-001
    6   19  8.549020e-001
    6   20  8.784314e-001
    6   21  9.137255e-001
    6   22  9.372549e-001
    6   23  9.490196e-001
    6   24  9.333333e-001
    6   25  9.058824e-001
    6   26  8.666667e-001
    6   27  8.196078e-001
    6   28  7.882353e-001
    6   29  7.882353e-001
    6   30  7.960784e-001
    6   31  8.000000e-001
    6   32  8.274510e-001
    6   33  8.745098e-001
    6   34  9.058824e-001
    6   35  8.862745e-001
    6   36  8.352941e-001
    6   37  7.960784e-001
    6   38  7.960784e-001
    6   39  7.960784e-001
    6   40  8.156863e-001
    6   41  8.549020e-001
    6   42  9.058824e-001
    6   43  9.490196e-001
    6   44  9.647059e-001
    6   45  9.450980e-001
    6   46  9.058824e-001
    6   47  8.666667e-001
    6   48  8.666667e-001
    6   49  9.019608e-001
    6   50  9.490196e-001
    6   51  9.803922e-001
    6   52  9.843137e-001
    6   53  9.686275e-001
    6   54  9.490196e-001
    6   55  9.450980e-001
    6   56  9.333333e-001
    6   57  9.254902e-001
    6   58  9.372549e-001
    6   59  9.529412e-001
    6   60  9.607843e-001
    6   61  9.568627e-001
    6   62  9.215686e-001
    6   63  8.901961e-001
    6   64  8.745098e-001
    6   65  8.745098e-001
    6   66  8.941176e-001
    6   67  9.215686e-001
    6   68  9.372549e-001
    6   69  9.490196e-001
    6   70  9.411765e-001
    6   71  9.254902e-001
    6   72  9.019608e-001
    6   73  8.901961e-001
    6   74  9.019608e-001
    6   75  9.294118e-001
    6   76  9.568627e-001
    6   77  9.607843e-001
    6   78  9.411765e-001
    6   79  9.450980e-001
    6   80  9.490196e-001
    6   81  9.411765e-001
    6   82  9.137255e-001
    6   83  8.901961e-001
    6   84  8.980392e-001
    6   85  9.294118e-001
    6   86  9.294118e-001
    6   87  9.215686e-001
    6   88  9.058824e-001
    6   89  8.862745e-001
    6   90  8.862745e-001
    6   91  8.980392e-001
    6   92  9.098039e-001
    6   93  9.176471e-001
    6   94  9.333333e-001
    6   95  9.254902e-001
    6   96  9.215686e-001
    6   97  9.450980e-001
    6   98  9.568627e-001
    6   99  1.000000e+000
    6  100  7.450980e-001
    7    0  8.274510e-001
    7    1  8.039216e-001
    7    2  8.039216e-001
    7    3  8.235294e-001
    7    4  8.509804e-001
    7    5  8.666667e-001
    7    6  8.980392e-001
    7    7  9.176471e-001
    7    8  8.980392e-001
    7    9  8.588235e-001
    7   10  8.196078e-001
    7   11  7.843137e-001
    7   12  7.647059e-001
    7   13  7.803922e-001
    7   14  8.352941e-001
    7   15  8.941176e-001
    7   16  9.176471e-001
    7   17  8.941176e-001
    7   18  8.666667e-001
    7   19  8.588235e-001
    7   20  8.705882e-001
    7   21  9.019608e-001
    7   22  9.098039e-001
    7   23  9.137255e-001
    7   24  9.215686e-001
    7   25  9.254902e-001
    7   26  9.137255e-001
    7   27  8.745098e-001
    7   28  8.313725e-001
    7   29  8.000000e-001
    7   30  8.117647e-001
    7   31  8.000000e-001
    7   32  8.000000e-001
    7   33  8.470588e-001
    7   34  9.019608e-001
    7   35  9.019608e-001
    7   36  8.666667e-001
    7   37  8.235294e-001
    7   38  8.078431e-001
    7   39  8.000000e-001
    7   40  8.078431e-001
    7   41  8.313725e-001
    7   42  8.745098e-001
    7   43  9.215686e-001
    7   44  9.450980e-001
    7   45  9.372549e-001
    7   46  9.176471e-001
    7   47  8.901961e-001
    7   48  8.745098e-001
    7   49  8.901961e-001
    7   50  9.294118e-001
    7   51  9.686275e-001
    7   52  9.843137e-001
    7   53  9.607843e-001
    7   54  9.411765e-001
    7   55  9.372549e-001
    7   56  9.254902e-001
    7   57  9.176471e-001
    7   58  9.372549e-001
    7   59  9.568627e-001
    7   60  9.647059e-001
    7   61  9.568627e-001
    7   62  9.450980e-001
    7   63  9.372549e-001
    7   64  9.254902e-001
    7   65  9.215686e-001
    7   66  9.333333e-001
    7   67  9.372549e-001
    7   68  9.333333e-001
    7   69  9.411765e-001
    7   70  9.450980e-001
    7   71  9.372549e-001
    7   72  9.058824e-001
    7   73  8.745098e-001
    7   74  8.784314e-001
    7   75  9.215686e-001
    7   76  9.568627e-001
    7   77  9.529412e-001
    7   78  9.176471e-001
    7   79  8.980392e-001
    7   80  8.941176e-001
    7   81  8.980392e-001
    7   82  8.862745e-001
    7   83  8.823529e-001
    7   84  8.862745e-001
    7   85  9.058824e-001
    7   86  9.098039e-001
    7   87  9.098039e-001
    7   88  8.980392e-001
    7   89  8.784314e-001
    7   90  8.705882e-001
    7   91  8.862745e-001
    7   92  9.019608e-001
    7   93  9.058824e-001
    7   94  9.254902e-001
    7   95  9.176471e-001
    7   96  9.137255e-001
    7   97  9.294118e-001
    7   98  9.294118e-001
    7   99  9.725490e-001
    7  100  7.176471e-001
    8    0  8.196078e-001
    8    1  7.960784e-001
    8    2  7.882353e-001
    8    3  8.078431e-001
    8    4  8.431373e-001
    8    5  8.784314e-001
    8    6  9.058824e-001
    8    7  9.215686e-001
    8    8  8.862745e-001
    8    9  8.117647e-001
    8   10  7.529412e-001
    8   11  7.254902e-001
    8   12  7.294118e-001
    8   13  7.450980e-001
    8   14  7.764706e-001
    8   15  8.392157e-001
    8   16  9.058824e-001
    8   17  8.941176e-001
    8   18  8.627451e-001
    8   19  8.666667e-001
    8   20  8.588235e-001
    8   21  8.705882e-001
    8   22  8.745098e-001
    8   23  8.980392e-001
    8   24  9.215686e-001
    8   25  9.450980e-001
    8   26  9.568627e-001
    8   27  9.058824e-001
    8   28  8.352941e-001
    8   29  8.117647e-001
    8   30  8.196078e-001
    8   31  7.921569e-001
    8   32  7.647059e-001
    8   33  7.921569e-001
    8   34  8.588235e-001
    8   35  9.019608e-001
    8   36  9.019608e-001
    8   37  8.549020e-001
    8   38  8.431373e-001
    8   39  8.117647e-001
    8   40  7.960784e-001
    8   41  8.196078e-001
    8   42  8.470588e-001
    8   43  8.823529e-001
    8   44  9.176471e-001
    8   45  9.450980e-001
    8   46  9.254902e-001
    8   47  9.058824e-001
    8   48  8.862745e-001
    8   49  8.823529e-001
    8   50  9.019608e-001
    8   51  9.529412e-001
    8   52  9.764706e-001
    8   53  9.529412e-001
    8   54  9.529412e-001
    8   55  9.333333e-001
    8   56  9.137255e-001
    8   57  9.176471e-001
    8   58  9.294118e-001
    8   59  9.450980e-001
    8   60  9.647059e-001
    8   61  9.725490e-001
    8   62  9.686275e-001
    8   63  9.607843e-001
    8   64  9.529412e-001
    8   65  9.490196e-001
    8   66  9.450980e-001
    8   67  9.411765e-001
    8   68  9.450980e-001
    8   69  9.450980e-001
    8   70  9.333333e-001
    8   71  9.333333e-001
    8   72  9.294118e-001
    8   73  9.098039e-001
    8   74  9.137255e-001
    8   75  9.254902e-001
    8   76  9.333333e-001
    8   77  9.176471e-001
    8   78  8.666667e-001
    8   79  8.235294e-001
    8   80  8.117647e-001
    8   81  8.196078e-001
    8   82  8.470588e-001
    8   83  8.666667e-001
    8   84  8.705882e-001
    8   85  8.941176e-001
    8   86  8.901961e-001
    8   87  8.705882e-001
    8   88  8.862745e-001
    8   89  8.784314e-001
    8   90  8.666667e-001
    8   91  8.862745e-001
    8   92  8.941176e-001
    8   93  9.019608e-001
    8   94  9.058824e-001
    8   95  9.058824e-001
    8   96  9.137255e-001
    8   97  9.176471e-001
    8   98  9.215686e-001
    8   99  9.607843e-001
    8  100  7.019608e-001
    9    0  8.196078e-001
    9    1  8.000000e-001
    9    2  7.921569e-001
    9    3  8.117647e-001
    9    4  8.549020e-001
    9    5  8.980392e-001
    9    6  9.098039e-001
    9    7  8.980392e-001
    9    8  8.470588e-001
    9    9  7.921569e-001
    9   10  7.568627e-001
    9   11  7.450980e-001
    9   12  7.411765e-001
    9   13  7.450980e-001
    9   14  7.411765e-001
    9   15  7.803922e-001
    9   16  8.627451e-001
    9   17  8.862745e-001
    9   18  8.784314e-001
    9   19  8.784314e-001
    9   20  8.666667e-001
    9   21  8.784314e-001
    9   22  8.784314e-001
    9   23  8.980392e-001
    9   24  9.254902e-001
    9   25  9.529412e-001
    9   26  9.686275e-001
    9   27  9.411765e-001
    9   28  8.823529e-001
    9   29  8.392157e-001
    9   30  8.156863e-001
    9   31  7.843137e-001
    9   32  7.568627e-001
    9   33  7.568627e-001
    9   34  7.960784e-001
    9   35  8.431373e-001
    9   36  8.705882e-001
    9   37  8.705882e-001
    9   38  8.549020e-001
    9   39  8.235294e-001
    9   40  8.039216e-001
    9   41  8.156863e-001
    9   42  8.431373e-001
    9   43  8.666667e-001
    9   44  8.941176e-001
    9   45  9.294118e-001
    9   46  9.254902e-001
    9   47  9.215686e-001
    9   48  9.098039e-001
    9   49  8.980392e-001
    9   50  9.019608e-001
    9   51  9.294118e-001
    9   52  9.529412e-001
    9   53  9.607843e-001
    9   54  9.647059e-001
    9   55  9.490196e-001
    9   56  9.333333e-001
    9   57  9.294118e-001
    9   58  9.333333e-001
    9   59  9.450980e-001
    9   60  9.607843e-001
    9   61  9.607843e-001
    9   62  9.607843e-001
    9   63  9.607843e-001
    9   64  9.568627e-001
    9   65  9.529412e-001
    9   66  9.529412e-001
    9   67  9.490196e-001
    9   68  9.490196e-001
